"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAGEA11",0.100330047943116,-3.01419113012307,2.64125852650561,0.00838787763372686,0.015491765861918,-4.2881226682628
"TMEM200C",-0.133503443408417,-1.71831009372173,-2.64104436262269,0.00839314451824853,0.0155001795959518,-4.28868396604573
"EPN2-AS1",0.122022161773387,-2.39130761080847,2.64041127169525,0.00840873130899997,0.0155263329567926,-4.29034295876717
"MYH2",0.100154969374703,-2.82890907213279,2.63973468155041,0.00842541771388688,0.0155545074968733,-4.29211550607253
"CELSR2",-0.163141412578755,1.15673191335204,-2.63940034647341,0.00843367419697133,0.015568431104033,-4.29299123984553
"ZNF556",0.142628245022406,-2.71159866897555,2.63936532241265,0.00843453954357088,0.0155687095852952,-4.2930829730754
"RASSF3",0.11536850753015,4.52735774228315,2.6391751413838,0.00843923977346621,0.0155760659549237,-4.29358106454762
"THPO",-0.163569889409973,-2.53693528159168,-2.63901861083263,0.00844311010839177,0.015581889494525,-4.29399099756036
"GPR75",-0.111568501117728,0.382208517749407,-2.63888068391978,0.00844652177195614,0.015586865634394,-4.29435219020708
"PLCB4",0.241440789892552,2.28648278065159,2.6382464348943,0.00846222601050519,0.0156132010811946,-4.29601287429466
"PHF11",0.13276637707623,3.79484858121876,2.63653536658911,0.00850472320480862,0.0156889534907535,-4.30049108126453
"ETV4",-0.211206586058804,3.3097760737409,-2.63537789335008,0.00853357922468348,0.0157381880072664,-4.30351879476772
"SWAP70",-0.112356627487587,4.88558127092811,-2.63449318290068,0.00855569429940173,0.0157749685889291,-4.30583213238959
"DLG1-AS1",0.122018096842182,-1.89968675649001,2.63444708054517,0.0085568481237504,0.0157757611148592,-4.30595265965865
"MARVELD1",-0.140314356299501,5.61250823274883,-2.6342788897942,0.00856105869058909,0.0157821885675073,-4.3063923499636
"LAMA1",0.243710873348101,1.13409192064363,2.63367369115494,0.00857622487118704,0.0158074725040742,-4.30797425294006
"C1orf94",0.100526611920353,-2.91999030098954,2.63319303519215,0.00858828716672031,0.0158243512060575,-4.30923036369592
"PLA2G4F",0.163393148057157,-2.74320126259463,2.63255772784006,0.00860425381953592,0.0158524300945031,-4.3108902819968
"RNA5S16",0.141086697109493,-2.36758998536347,2.63181592661741,0.00862293052088664,0.0158854967915218,-4.31282794541774
